Sno,id,delay,jitter,bandwidth
1,0,364.5,52.7,597.5
2,0,186.0,52.8,533.5
130,0,1086.0,61.6,786.0
3,0,275.8,161.12,520.0
4,0,189.1,36.9,581.5
133,0,497.4,66.8,636.0
139,0,112.4,41.8,557.0
14,0,258.5,68.5,597.5
142,0,373.1,107.56,567.5
145,0,1248.2,43.56,649.0
148,0,174.6,55.2,511.5
21,0,310.7,186.84,633.0
153,0,170.6,60.72,346.0
28,0,239.1,65.12,533.5
159,0,1245.2,41.4,901.0
31,0,669.7,37.9,635.0
160,0,359.6,132.76,498.5
32,0,381.3,51.9,710.0
33,0,1834.9,621.34,997.5
35,0,911.5,40.4,557.0
36,0,181.2,55.0,714.0
38,0,181.9,50.48,567.5
42,0,296.3,100.02,520.0
44,0,467.8,54.0,635.0
46,0,878.7,55.3,683.0
174,0,0.0,0.0,470.0
181,0,139.7,20.84,377.5
56,0,244.2,50.44,581.5
58,0,490.2,51.0,710.0
59,0,532.3,52.16,683.0
61,0,140.4,62.0,961.0
62,0,406.2,137.52,620.5
191,0,267.1,59.92,557.0
63,0,767.5,249.7,487.5
192,0,442.7,44.5,346.0
64,0,725.8,52.6,750.5
65,0,357.9,197.1,786.0
194,0,689.0,23.8,377.5
72,0,312.9,293.06,997.5
74,0,409.2,52.0,961.0
76,0,158.7,113.12,771.5
77,0,63.7,24.64,862.5
78,0,599.1,44.1,821.0
80,0,515.1,47.68,649.0
81,0,227.8,44.84,901.0
88,0,786.3,48.5,620.5
89,0,69.1,21.96,771.5
95,0,207.0,37.6,498.5
96,0,188.9,49.12,470.0
99,0,256.4,41.2,633.0
100,0,1718.4,48.0,557.0
102,0,105.6,19.84,487.5
103,0,1078.0,48.8,862.5
107,0,148.8,49.6,636.0
114,0,150.3,70.56,714.0
116,0,391.9,37.54,750.5
117,0,746.4,45.0,821.0
122,0,228.5,59.5,511.5
1,1,196.6,35.6,827.0
2,1,240.6,112.68,917.5
130,1,765.6,145.76,924.5
3,1,478.8,54.16,916.0
4,1,548.9,31.9,1166.0
133,1,653.5,65.3,864.5
139,1,318.8,61.36,974.5
14,1,224.3,85.28,827.0
142,1,174.1,36.1,1188.5
145,1,862.4,36.92,1069.0
148,1,499.3,56.1,948.5
21,1,368.5,41.9,975.0
153,1,171.4,51.8,1427.5
28,1,353.5,45.1,917.5
159,1,827.9,42.92,1041.5
31,1,450.2,241.96,848.5
160,1,781.4,321.0,958.0
32,1,243.1,54.9,670.0
33,1,490.2,59.4,682.5
35,1,191.7,45.7,765.5
36,1,164.9,53.9,620.0
38,1,225.6,42.08,1188.5
42,1,199.7,50.7,916.0
44,1,581.0,57.8,848.5
46,1,248.5,53.0,998.5
174,1,348.1,118.92,1492.0
181,1,238.7,44.16,1365.0
56,1,235.7,36.5,1166.0
58,1,455.8,59.4,670.0
59,1,266.4,51.28,998.5
61,1,229.9,102.1,940.5
62,1,412.6,202.92,1045.5
191,1,286.0,57.6,974.5
63,1,214.9,175.44,683.5
192,1,414.6,46.6,1427.5
64,1,184.7,52.5,753.0
65,1,411.8,62.96,924.5
194,1,177.6,39.8,1365.0
72,1,724.8,61.16,682.5
74,1,585.2,102.36,940.5
76,1,676.8,325.8,928.5
77,1,164.3,61.1,898.0
78,1,140.7,45.1,715.0
80,1,473.5,61.8,1069.0
81,1,182.1,38.3,1041.5
88,1,695.7,47.7,1045.5
89,1,1043.9,60.28,928.5
95,1,125.7,15.98,958.0
96,1,239.8,55.44,1492.0
99,1,243.2,39.8,975.0
100,1,623.3,46.64,765.5
102,1,442.9,51.7,683.5
103,1,878.4,53.8,898.0
107,1,372.9,49.1,864.5
114,1,512.2,57.0,620.0
116,1,151.3,44.3,753.0
117,1,943.3,43.3,715.0
122,1,324.7,54.1,948.5
1,2,537.5,37.3,297.5
2,2,472.5,58.7,310.0
