Sno,id,delay,jitter,bandwidth
1,0,446.3,41.5,619.5
2,0,33494.1,1442.02,789.5
130,0,1613.9,284.78,1113.0
3,0,3634.5,45.9,532.5
4,0,1268.8,29.24,834.0
133,0,6641.6,46.0,728.5
139,0,10892.4,1092.72,659.5
14,0,382.9,41.1,619.5
142,0,66304.9,235.44,789.5
145,0,1630.5,37.1,541.0
148,0,48592.9,8855.96,529.0
21,0,7857.0,46.8,542.0
153,0,12217.5,1099.5,408.0
28,0,21169.2,149.96,789.5
31,0,298.6,55.6,846.5
159,0,77799.78,8669.506,874.0
160,0,11862.8,156.24,420.0
32,0,955.6,44.52,1148.0
33,0,47472.3,10932.5,956.0
35,0,363.1,41.3,787.5
36,0,45609.0,23601.8,965.5
38,0,13263.0,4421.4,789.5
42,0,190.9,66.28,532.5
44,0,478.3,37.9,846.5
174,0,18170.4,216.92,697.0
46,0,77.0,19.6,963.5
181,0,231.3,80.42,568.5
56,0,245.4,77.96,834.0
58,0,2140.6,43.2,1148.0
59,0,149.7,52.64,963.5
61,0,1684.1,50.7,1132.5
62,0,348.5,178.7,877.5
191,0,28772.2,63.04,659.5
63,0,136.1,30.3,691.0
64,0,209.8,53.0,992.0
192,0,59258.7,447.46,408.0
65,0,333.8,217.0,1113.0
194,0,35211.7,40.3,568.5
72,0,55016.1,2504.18,956.0
74,0,1430.5,191.6,1132.5
76,0,24983.2,294.76,502.5
77,0,303.7,45.3,1063.0
78,0,95749.2,160.76,748.0
80,0,47083.6,92.48,541.0
81,0,11712.4,70.8,874.0
88,0,1394.2,54.8,877.5
89,0,2777.6,36.6,502.5
95,0,14045.0,36.6,420.0
96,0,6778.0,38.8,697.0
99,0,725.8,58.44,542.0
100,0,56251.7,935.06,787.5
102,0,202.9,90.28,691.0
103,0,2707.6,53.8,1063.0
107,0,192.5,163.7,728.5
114,0,64477.7,659.66,965.5
116,0,1642.0,49.6,992.0
117,0,1404.9,39.5,748.0
122,0,73451.0,54.8,529.0
1,1,237.7,50.1,591.5
2,1,847.4,108.36,449.5
130,1,832.6,132.16,400.0
3,1,303.2,66.6,569.0
4,1,882.1,88.52,515.0
133,1,564.7,58.5,579.5
139,1,374.8,53.0,633.0
14,1,2260.3,90.1,591.5
142,1,227.0,73.6,499.5
145,1,1183.4,485.44,658.5
148,1,500.8,50.6,650.0
21,1,503.3,48.24,723.5
153,1,326.7,47.64,618.0
28,1,1394.9,435.56,449.5
31,1,229.9,50.9,412.0
159,1,1036.7,52.3,669.0
160,1,718.5,248.9,618.0
32,1,899.4,51.6,238.0
33,1,469.9,49.12,413.0
35,1,182.7,47.7,418.5
36,1,241.5,54.2,418.5
38,1,373.8,50.04,499.5
42,1,2359.1,90.72,569.0
44,1,398.0,155.8,412.0
174,1,1283.0,376.8,504.5
46,1,1290.8,244.64,476.5
181,1,370.7,64.3,555.0
56,1,1828.5,598.8,515.0
58,1,233.8,70.6,238.0
59,1,497.9,69.9,476.5
61,1,854.8,51.4,439.0
62,1,122.7,33.72,433.0
191,1,429.6,61.8,633.0
63,1,470.1,56.3,419.5
64,1,183.1,51.3,422.0
192,1,875.0,57.4,618.0
65,1,164.1,49.3,400.0
194,1,151.6,25.72,555.0
72,1,2330.3,69.7,413.0
74,1,329.3,118.44,439.0
76,1,632.7,137.3,607.0
77,1,445.1,57.3,685.5
78,1,186.9,60.1,609.0
80,1,342.4,43.12,658.5
81,1,188.3,44.1,669.0
88,1,741.7,61.1,433.0
89,1,531.1,54.32,607.0
95,1,132.9,16.28,618.0
96,1,135.2,24.04,504.5
99,1,381.0,75.0,723.5
100,1,2410.4,99.16,418.5
102,1,826.2,60.0,419.5
103,1,765.5,562.0,685.5
107,1,89.5,42.2,579.5
114,1,192.2,77.84,418.5
116,1,197.3,55.9,422.0
117,1,1841.3,562.78,609.0
122,1,374.4,48.2,650.0
1,2,338.4,65.72,331.0
2,2,2209.0,74.4,469.5
130,2,287.3,58.9,553.0
3,2,848.5,51.6,320.5
4,2,1915.9,984.74,545.0
133,2,639.9,43.9,362.0
139,2,236.5,77.7,403.5
14,2,341.4,69.92,331.0
142,2,1153.1,37.88,540.0
145,2,896.8,58.04,344.5
148,2,558.5,67.0,330.0
21,2,805.9,46.32,424.0
153,2,436.1,186.32,377.0
28,2,506.0,80.4,469.5
31,2,381.9,77.1,480.0
159,2,223.3,24.7,308.0
160,2,487.7,161.5,333.0
32,2,1916.4,50.8,570.0
33,2,481.1,57.3,484.0
35,2,197.5,47.6,426.5
36,2,88.6,29.0,449.0
38,2,1381.9,63.14,540.0
42,2,398.6,60.32,320.5
44,2,1063.0,49.0,480.0
174,2,1322.8,155.2,399.5
46,2,4140.3,77.5,467.5
181,2,645.6,55.08,390.0
56,2,233.0,63.6,545.0
58,2,1005.9,55.3,570.0
59,2,440.5,43.4,467.5
61,2,1084.9,60.9,474.5
62,2,104.4,25.72,504.5
191,2,557.2,54.4,403.5
63,2,562.3,45.04,392.5
64,2,206.4,42.8,485.5
192,2,219.8,65.56,377.0
65,2,565.1,44.68,553.0
194,2,279.0,62.2,390.0
72,2,981.5,55.5,484.0
74,2,712.9,60.5,474.5
76,2,2406.4,156.8,343.0
77,2,112.7,52.04,310.0
78,2,397.4,49.8,293.0
80,2,380.6,115.88,344.5
81,2,285.9,56.52,308.0
88,2,1585.5,56.9,504.5
89,2,766.8,57.6,343.0
95,2,190.1,47.08,333.0
96,2,209.4,39.6,399.5
99,2,210.1,48.08,424.0
100,2,1073.5,55.0,426.5
102,2,2126.0,57.2,392.5
103,2,776.8,61.2,310.0
107,2,182.7,56.9,362.0
114,2,68.5,14.2,449.0
116,2,191.8,62.0,485.5
117,2,524.3,66.7,293.0
122,2,438.5,69.7,330.0
1,3,234.5,41.5,523.0
2,3,184.9,35.5,544.5
130,3,1473.4,624.12,645.5
3,3,159.0,49.6,523.0
4,3,2214.7,279.34,689.0
133,3,486.2,59.4,607.0
139,3,53.4,15.76,675.5
14,3,281.0,46.8,523.0
142,3,905.5,55.0,613.0
145,3,161.0,21.4,702.0
148,3,1455.1,55.5,626.5
21,3,542.0,63.4,679.0
153,3,170.6,134.24,876.0
28,3,198.8,32.0,544.5
31,3,171.2,27.4,494.5
159,3,161.2,28.24,800.0
160,3,373.9,67.54,640.0
32,3,611.1,113.94,448.0
33,3,499.4,77.6,590.5
